Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.17
52000	-68.68
54000	-65.9
56000	-62.34
58000	-62.92
60000	-61.12
62000	-60.53
64000	-60.01
66000	-59.73
68000	-60.57
70000	-60.31
72000	-59.31
74000	-56.25
76000	-55.96
78000	-55.53
80000	-54.6
82000	-56.59
84000	-58.5
86000	-57.16
88000	-55.25
90000	-53.66
92000	-51.69
94000	-50.18
96000	-48.79
98000	-47.57
100000	-47.21
102000	-47.98
104000	-47.34
106000	-46.91
108000	-46.72
110000	-46.64
112000	-46.44
114000	-46.17
116000	-45.75
118000	-45.23
120000	-44.69
122000	-43.75
124000	-42.7
126000	-41.52
128000	-40.29
130000	-39.36
132000	-37.98
134000	-36.79
136000	-35.82
138000	-35.46
140000	-35.51
142000	-35.8
144000	-36.48
146000	-37.48
148000	-38.92
150000	-40.72
152000	-43.24
154000	-46.25
156000	-46.45
158000	-44.97
160000	-43.41
162000	-41.87
164000	-40.41
166000	-39.73
168000	-40.1
170000	-41.44
172000	-42.53
174000	-44.5
176000	-45.17
178000	-44.53
180000	-43.61
182000	-42.93
184000	-42.13
186000	-41.54
188000	-40.94
190000	-41.23
192000	-42.61
194000	-43.35
196000	-40.66
198000	-40.72
200000	-40.64
202000	-40.5
204000	-40.29
206000	-39.92
208000	-39.16
210000	-38.06
212000	-36.98
214000	-36.33
216000	-36.37
218000	-36.58
220000	-36.66
222000	-36.02
224000	-35.38
226000	-34.99
228000	-34.63
230000	-34.34
232000	-34.14
234000	-33.98
236000	-33.92
238000	-33.69
240000	-33.51
242000	-33.21
244000	-32.94
246000	-32.65
248000	-32.35
250000	-32.06
252000	-31.74
254000	-31.53
256000	-31.36
258000	-31.23
260000	-31.01
262000	-30.71
264000	-30.53
266000	-30.52
268000	-30.57
270000	-30.47
272000	-30.22
274000	-30.02
276000	-30
278000	-30.14
280000	-30.42
282000	-30.73
284000	-30.67
286000	-30.54
288000	-30.51
290000	-30.57
292000	-30.84
294000	-30.89
296000	-30.37
298000	-29.54
300000	-28.71
302000	-28.05
304000	-27.48
306000	-27
308000	-26.59
310000	-26.32
312000	-26.21
314000	-26.34
316000	-26.8
318000	-27.53
320000	-28.01
322000	-28.34
324000	-28.49
326000	-28.65
328000	-28.63
330000	-28.34
332000	-27.76
334000	-27.03
336000	-26.4
338000	-25.87
340000	-25.43
342000	-25.03
344000	-24.63
346000	-24.43
348000	-24.4
350000	-24.71
352000	-25.26
354000	-25.92
356000	-26.62
358000	-27.23
360000	-27.91
362000	-28.79
364000	-30.1
366000	-31.42
368000	-32.83
370000	-34.15
372000	-35.08
374000	-35.61
376000	-35.37
378000	-35.15
380000	-35.42
382000	-36.27
384000	-37.45
386000	-38.37
388000	-38.75
390000	-38.84
392000	-38.62
394000	-38.05
396000	-37.32
398000	-36.71
400000	-36.05
402000	-34.84
404000	-33.84
406000	-32.98
408000	-32.2
410000	-31.34
412000	-30.35
414000	-29.55
416000	-28.9
418000	-28.28
420000	-27.84
422000	-27.57
424000	-27.46
426000	-27.49
428000	-27.71
430000	-28.01
432000	-28.29
434000	-28.54
436000	-28.76
438000	-28.91
440000	-29.04
442000	-29.24
444000	-29.49
446000	-29.71
448000	-29.86
450000	-29.94
452000	-29.95
454000	-29.98
456000	-30.07
458000	-30.24
460000	-30.51
462000	-30.83
464000	-31.18
466000	-31.59
468000	-32
470000	-32.41
472000	-32.78
474000	-33.01
476000	-33.11
478000	-33.15
480000	-33.26
482000	-33.3
484000	-33.29
486000	-33.32
488000	-33.17
490000	-33.04
492000	-33.05
494000	-32.98
496000	-32.86
498000	-32.72
500000	-32.65
502000	-32.66
504000	-32.74
506000	-32.93
508000	-33.12
510000	-33.29
512000	-33.47
514000	-33.73
516000	-34.04
518000	-34.43
520000	-34.86
522000	-35.24
524000	-35.57
526000	-35.85
528000	-36.15
530000	-36.46
532000	-36.75
534000	-37.04
536000	-37.31
538000	-37.44
540000	-37.45
542000	-37.32
544000	-37.07
546000	-36.72
548000	-36.28
550000	-35.93
552000	-35.67
554000	-35.4
556000	-35.1
558000	-34.89
560000	-34.77
562000	-34.72
564000	-34.68
566000	-34.74
568000	-34.87
570000	-35.06
572000	-35.27
574000	-35.48
576000	-35.59
578000	-35.56
580000	-35.37
582000	-35.07
584000	-34.8
586000	-34.63
588000	-34.54
590000	-34.48
592000	-34.44
594000	-34.43
596000	-34.45
598000	-34.5
600000	-34.58
602000	-34.65
604000	-34.72
606000	-34.78
608000	-34.84
610000	-34.87
612000	-34.85
614000	-34.83
616000	-34.84
618000	-34.85
620000	-34.88
622000	-34.93
624000	-35.01
626000	-35.11
628000	-35.21
630000	-35.29
632000	-35.31
634000	-35.3
636000	-35.28
638000	-35.27
640000	-35.26
642000	-35.2
644000	-35.17
646000	-35.17
648000	-35.2
650000	-35.28
652000	-35.43
654000	-35.65
656000	-35.88
658000	-36.13
660000	-36.37
662000	-36.57
664000	-36.81
666000	-37.13
668000	-37.44
670000	-37.63
672000	-37.78
674000	-37.81
676000	-37.78
678000	-37.78
680000	-37.77
682000	-37.75
684000	-37.5
686000	-37.42
688000	-37.29
690000	-37.15
692000	-37.16
694000	-37.22
696000	-37.1
698000	-36.84
700000	-36.66
702000	-36.72
704000	-36.92
706000	-37.26
708000	-37.67
710000	-38.03
712000	-38.38
714000	-38.64
716000	-38.86
718000	-39.03
720000	-39.15
722000	-39.29
724000	-39.36
726000	-39.4
728000	-39.31
730000	-39.33
732000	-39.41
734000	-39.47
736000	-39.51
738000	-39.59
