Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.04
52000	-68.6
54000	-65.85
56000	-62.27
58000	-62.9
60000	-61.06
62000	-60.47
64000	-59.94
66000	-59.56
68000	-60.42
70000	-60.2
72000	-59.24
74000	-56.24
76000	-55.75
78000	-55.37
80000	-54.22
82000	-56.09
84000	-58.26
86000	-57
88000	-55.17
90000	-53.61
92000	-51.66
94000	-50.11
96000	-48.63
98000	-47.3
100000	-46.73
102000	-47.61
104000	-46.92
106000	-46.46
108000	-46.25
110000	-46.2
112000	-46.06
114000	-45.87
116000	-45.52
118000	-45.11
120000	-44.54
122000	-43.65
124000	-42.65
126000	-41.51
128000	-40.28
130000	-39.33
132000	-37.94
134000	-36.72
136000	-35.67
138000	-35.23
140000	-35.23
142000	-35.49
144000	-36.17
146000	-37.16
148000	-38.6
150000	-40.35
152000	-42.78
154000	-45.89
156000	-46.8
158000	-45.56
160000	-43.93
162000	-42.28
164000	-40.68
166000	-39.84
168000	-39.96
170000	-41.27
172000	-42.31
174000	-44.61
176000	-45.66
178000	-45.21
180000	-44.24
182000	-43.48
184000	-42.64
186000	-41.98
188000	-41.3
190000	-41.41
192000	-42.65
194000	-43.39
196000	-40.97
198000	-41
200000	-40.93
202000	-40.71
204000	-40.5
206000	-40.11
208000	-39.37
210000	-38.34
212000	-37.22
214000	-36.5
216000	-36.55
218000	-36.81
220000	-36.94
222000	-36.34
224000	-35.71
226000	-35.33
228000	-34.98
230000	-34.69
232000	-34.49
234000	-34.34
236000	-34.31
238000	-34.11
240000	-33.93
242000	-33.63
244000	-33.37
246000	-33.1
248000	-32.83
250000	-32.56
252000	-32.26
254000	-32.06
256000	-31.9
258000	-31.78
260000	-31.57
262000	-31.26
264000	-31
266000	-30.88
268000	-30.9
270000	-30.88
272000	-30.66
274000	-30.41
276000	-30.31
278000	-30.41
280000	-30.7
282000	-31.08
284000	-31.03
286000	-30.87
288000	-30.8
290000	-30.79
292000	-31.05
294000	-31.28
296000	-30.99
298000	-30.23
300000	-29.38
302000	-28.66
304000	-28.03
306000	-27.48
308000	-26.98
310000	-26.62
312000	-26.42
314000	-26.44
316000	-26.8
318000	-27.51
320000	-28.05
322000	-28.42
324000	-28.55
326000	-28.7
328000	-28.73
330000	-28.58
332000	-28.09
334000	-27.37
336000	-26.69
338000	-26.09
340000	-25.6
342000	-25.18
344000	-24.78
346000	-24.58
348000	-24.55
350000	-24.87
352000	-25.48
354000	-26.22
356000	-27
358000	-27.66
360000	-28.31
362000	-29.12
364000	-30.36
366000	-31.65
368000	-33.05
370000	-34.47
372000	-35.69
374000	-36.6
376000	-36.58
378000	-36.25
380000	-36.28
382000	-36.91
384000	-37.93
386000	-38.88
388000	-39.29
390000	-39.3
392000	-39.07
394000	-38.42
396000	-37.6
398000	-36.88
400000	-36.28
402000	-35.09
404000	-34.05
406000	-33.11
408000	-32.29
410000	-31.4
412000	-30.31
414000	-29.43
416000	-28.74
418000	-28.09
420000	-27.64
422000	-27.39
424000	-27.32
426000	-27.4
428000	-27.69
430000	-28.07
432000	-28.45
434000	-28.77
436000	-29.07
438000	-29.28
440000	-29.44
442000	-29.66
444000	-29.92
446000	-30.19
448000	-30.38
450000	-30.51
452000	-30.55
454000	-30.58
456000	-30.66
458000	-30.82
460000	-31.09
462000	-31.41
464000	-31.77
466000	-32.17
468000	-32.56
470000	-32.98
472000	-33.39
474000	-33.71
476000	-33.84
478000	-33.86
480000	-33.93
482000	-33.95
484000	-33.93
486000	-33.97
488000	-33.86
490000	-33.72
492000	-33.74
494000	-33.67
496000	-33.53
498000	-33.39
500000	-33.33
502000	-33.35
504000	-33.45
506000	-33.64
508000	-33.84
510000	-34
512000	-34.17
514000	-34.42
516000	-34.71
518000	-35.09
520000	-35.51
522000	-35.9
524000	-36.25
526000	-36.55
528000	-36.85
530000	-37.15
532000	-37.42
534000	-37.71
536000	-37.98
538000	-38.12
540000	-38.13
542000	-38
544000	-37.75
546000	-37.37
548000	-36.91
550000	-36.54
552000	-36.26
554000	-35.98
556000	-35.68
558000	-35.47
560000	-35.38
562000	-35.35
564000	-35.3
566000	-35.32
568000	-35.41
570000	-35.56
572000	-35.78
574000	-36.03
576000	-36.22
578000	-36.29
580000	-36.2
582000	-35.93
584000	-35.63
586000	-35.43
588000	-35.31
590000	-35.25
592000	-35.2
594000	-35.18
596000	-35.19
598000	-35.23
600000	-35.29
602000	-35.36
604000	-35.42
606000	-35.49
608000	-35.55
610000	-35.6
612000	-35.59
614000	-35.57
616000	-35.58
618000	-35.6
620000	-35.64
622000	-35.69
624000	-35.77
626000	-35.85
628000	-35.94
630000	-36.01
632000	-36.04
634000	-36.03
636000	-36.01
638000	-36.01
640000	-36.01
642000	-35.95
644000	-35.91
646000	-35.9
648000	-35.91
650000	-35.95
652000	-36.05
654000	-36.24
656000	-36.46
658000	-36.73
660000	-36.99
662000	-37.18
664000	-37.39
666000	-37.68
668000	-37.99
670000	-38.22
672000	-38.42
674000	-38.53
676000	-38.55
678000	-38.57
680000	-38.55
682000	-38.51
684000	-38.29
686000	-38.22
688000	-38.14
690000	-38.01
692000	-38.02
694000	-38.07
696000	-37.97
698000	-37.68
700000	-37.45
702000	-37.47
704000	-37.63
706000	-37.93
708000	-38.31
710000	-38.66
712000	-38.99
714000	-39.26
716000	-39.5
718000	-39.7
720000	-39.85
722000	-40.02
724000	-40.11
726000	-40.15
728000	-40.05
730000	-40.04
732000	-40.1
734000	-40.16
736000	-40.21
738000	-40.31
740000	-40.34
