Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	1000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
424000	-33.13
425000	-33.26
426000	-33.39
427000	-33.5
428000	-33.62
429000	-33.75
430000	-33.89
431000	-34.02
432000	-34.14
433000	-34.23
434000	-34.28
435000	-34.32
436000	-34.35
437000	-34.39
438000	-34.46
439000	-34.55
440000	-34.66
441000	-34.77
442000	-34.88
443000	-34.98
444000	-35.08
445000	-35.16
446000	-35.26
447000	-35.35
448000	-35.4
449000	-35.45
450000	-35.48
451000	-35.49
452000	-35.51
453000	-35.57
454000	-35.63
455000	-35.71
456000	-35.81
457000	-35.9
458000	-36
459000	-36.12
460000	-36.24
461000	-36.32
462000	-36.4
463000	-36.49
464000	-36.59
465000	-36.72
466000	-36.84
467000	-36.93
468000	-37.03
469000	-37.14
470000	-37.23
471000	-37.32
472000	-37.4
473000	-37.49
474000	-37.59
475000	-37.69
476000	-37.78
477000	-37.86
478000	-37.98
479000	-38.09
480000	-38.18
481000	-38.28
482000	-38.38
483000	-38.45
484000	-38.5
485000	-38.54
486000	-38.56
487000	-38.53
488000	-38.44
489000	-38.36
490000	-38.32
491000	-38.3
492000	-38.27
493000	-38.24
494000	-38.19
495000	-38.14
496000	-38.08
497000	-38
498000	-37.97
499000	-37.98
500000	-38.01
501000	-38.04
502000	-38.08
503000	-38.14
504000	-38.21
505000	-38.28
506000	-38.36
507000	-38.47
508000	-38.57
509000	-38.67
510000	-38.77
511000	-38.9
512000	-39.01
513000	-39.13
514000	-39.24
515000	-39.37
516000	-39.52
517000	-39.67
518000	-39.83
519000	-40.02
520000	-40.21
521000	-40.38
522000	-40.54
523000	-40.72
524000	-40.92
525000	-41.12
526000	-41.32
527000	-41.55
528000	-41.82
529000	-42.13
530000	-42.47
531000	-42.85
532000	-43.27
533000	-43.7
534000	-44.16
535000	-44.59
536000	-44.95
537000	-45.19
538000	-45.32
539000	-45.37
540000	-45.31
541000	-45.15
542000	-44.89
543000	-44.55
544000	-44.15
545000	-43.71
546000	-43.29
547000	-42.87
548000	-42.52
549000	-42.23
550000	-42.04
551000	-41.88
552000	-41.72
553000	-41.55
554000	-41.39
555000	-41.22
556000	-41.05
557000	-40.94
558000	-40.86
559000	-40.82
560000	-40.77
561000	-40.73
562000	-40.67
563000	-40.61
564000	-40.58
565000	-40.57
566000	-40.57
567000	-40.57
568000	-40.63
569000	-40.75
570000	-40.9
571000	-41.06
572000	-41.24
573000	-41.41
574000	-41.54
575000	-41.6
576000	-41.6
577000	-41.53
578000	-41.39
579000	-41.19
580000	-40.93
581000	-40.66
582000	-40.42
583000	-40.24
584000	-40.11
585000	-40.01
586000	-39.95
587000	-39.9
588000	-39.87
589000	-39.82
590000	-39.78
591000	-39.75
592000	-39.73
593000	-39.69
594000	-39.62
595000	-39.54
596000	-39.46
597000	-39.38
598000	-39.32
599000	-39.28
600000	-39.24
601000	-39.2
602000	-39.16
603000	-39.13
604000	-39.08
605000	-39.04
606000	-39.01
607000	-38.99
608000	-38.98
609000	-38.98
610000	-38.97
611000	-38.93
612000	-38.88
613000	-38.83
614000	-38.77
615000	-38.74
616000	-38.73
617000	-38.73
618000	-38.73
619000	-38.74
620000	-38.76
621000	-38.78
622000	-38.8
623000	-38.84
624000	-38.89
625000	-38.96
626000	-39.04
627000	-39.11
628000	-39.18
629000	-39.24
630000	-39.28
631000	-39.29
632000	-39.28
633000	-39.26
634000	-39.24
635000	-39.21
636000	-39.18
637000	-39.15
638000	-39.13
639000	-39.09
640000	-39.06
641000	-39.01
642000	-38.97
643000	-38.93
644000	-38.91
645000	-38.88
646000	-38.85
647000	-38.83
648000	-38.82
649000	-38.83
650000	-38.87
651000	-38.95
652000	-39.08
653000	-39.24
654000	-39.39
655000	-39.53
656000	-39.67
657000	-39.82
658000	-39.97
659000	-40.11
660000	-40.24
661000	-40.34
662000	-40.45
663000	-40.57
664000	-40.71
665000	-40.85
666000	-40.99
667000	-41.12
668000	-41.25
669000	-41.36
670000	-41.47
671000	-41.56
672000	-41.6
673000	-41.62
674000	-41.61
675000	-41.59
676000	-41.57
677000	-41.53
678000	-41.47
679000	-41.42
680000	-41.35
681000	-41.27
682000	-41.18
683000	-41.09
684000	-41.01
685000	-40.94
686000	-40.89
687000	-40.82
688000	-40.71
689000	-40.63
690000	-40.6
691000	-40.61
692000	-40.61
693000	-40.61
694000	-40.58
695000	-40.51
696000	-40.39
697000	-40.24
698000	-40.08
699000	-39.96
700000	-39.89
701000	-39.9
702000	-39.99
703000	-40.12
704000	-40.29
705000	-40.48
706000	-40.69
707000	-40.89
708000	-41.11
709000	-41.32
710000	-41.52
711000	-41.73
712000	-41.94
713000	-42.13
714000	-42.29
715000	-42.41
716000	-42.49
717000	-42.54
718000	-42.55
719000	-42.55
720000	-42.54
721000	-42.52
722000	-42.48
723000	-42.44
724000	-42.42
725000	-42.39
726000	-42.34
727000	-42.29
728000	-42.28
729000	-42.3
730000	-42.33
731000	-42.34
732000	-42.36
733000	-42.37
734000	-42.35
735000	-42.34
736000	-42.34
737000	-42.33
738000	-42.31
739000	-42.26
740000	-42.18
741000	-42.09
742000	-42.02
743000	-41.92
744000	-41.8
745000	-41.69
746000	-41.59
747000	-41.5
748000	-41.42
749000	-41.33
750000	-41.25
751000	-41.19
752000	-41.12
753000	-41.05
754000	-40.98
755000	-40.91
756000	-40.83
757000	-40.76
758000	-40.7
759000	-40.64
760000	-40.57
761000	-40.5
762000	-40.42
763000	-40.32
764000	-40.21
765000	-40.11
766000	-40.01
767000	-39.91
768000	-39.81
769000	-39.73
770000	-39.66
771000	-39.59
772000	-39.53
773000	-39.46
774000	-39.4
775000	-39.35
776000	-39.33
777000	-39.31
778000	-39.3
779000	-39.29
780000	-39.31
781000	-39.35
782000	-39.4
783000	-39.45
784000	-39.5
785000	-39.52
786000	-39.48
787000	-39.38
788000	-39.26
789000	-39.13
790000	-39.02
791000	-38.9
792000	-38.78
793000	-38.69
794000	-38.66
795000	-38.68
796000	-38.72
797000	-38.74
798000	-38.76
799000	-38.77
800000	-38.76
801000	-38.76
802000	-38.78
803000	-38.78
804000	-38.77
805000	-38.78
806000	-38.82
807000	-38.89
808000	-38.97
809000	-39.06
810000	-39.14
811000	-39.22
812000	-39.28
813000	-39.33
814000	-39.39
815000	-39.46
816000	-39.54
817000	-39.59
818000	-39.62
819000	-39.63
820000	-39.64
821000	-39.61
822000	-39.58
823000	-39.58
824000	-39.62
825000	-39.72
826000	-39.84
827000	-39.98
828000	-40.08
829000	-40.14
830000	-40.15
831000	-40.13
832000	-40.08
833000	-40.01
834000	-39.94
835000	-39.87
836000	-39.79
837000	-39.71
838000	-39.62
839000	-39.5
840000	-39.37
841000	-39.22
842000	-39.06
843000	-38.91
844000	-38.76
845000	-38.63
846000	-38.51
847000	-38.42
848000	-38.34
849000	-38.3
850000	-38.27
851000	-38.27
852000	-38.29
853000	-38.33
854000	-38.38
855000	-38.43
856000	-38.48
857000	-38.53
858000	-38.6
859000	-38.67
860000	-38.74
861000	-38.82
862000	-38.88
863000	-38.96
864000	-39.03
865000	-39.09
866000	-39.16
867000	-39.22
868000	-39.3
869000	-39.38
870000	-39.45
871000	-39.53
872000	-39.61
873000	-39.67
874000	-39.7
875000	-39.71
876000	-39.69
877000	-39.65
878000	-39.6
879000	-39.54
880000	-39.45
881000	-39.34
882000	-39.22
883000	-39.1
884000	-38.97
885000	-38.85
886000	-38.74
887000	-38.66
888000	-38.58
889000	-38.52
890000	-38.48
891000	-38.45
892000	-38.44
893000	-38.45
894000	-38.47
895000	-38.52
896000	-38.59
897000	-38.68
898000	-38.78
899000	-38.91
900000	-39.05
901000	-39.2
902000	-39.37
903000	-39.54
904000	-39.72
905000	-39.91
906000	-40.1
907000	-40.28
908000	-40.47
909000	-40.65
910000	-40.83
911000	-41
912000	-41.17
913000	-41.34
914000	-41.52
915000	-41.68
916000	-41.85
917000	-42.02
918000	-42.2
919000	-42.37
920000	-42.56
921000	-42.75
922000	-42.95
923000	-43.14
924000	-43.33
925000	-43.52
926000	-43.72
927000	-43.92
928000	-44.12
929000	-44.33
930000	-44.54
931000	-44.77
932000	-45.01
933000	-45.25
934000	-45.49
935000	-45.71
936000	-45.93
937000	-46.12
938000	-46.32
939000	-46.51
940000	-46.69
941000	-46.87
942000	-47.05
943000	-47.22
944000	-47.4
945000	-47.59
946000	-47.77
947000	-47.96
948000	-48.15
949000	-48.35
950000	-48.55
951000	-48.75
952000	-48.95
953000	-49.16
954000	-49.38
955000	-49.62
956000	-49.86
