Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.1
52000	-68.62
54000	-65.87
56000	-62.3
58000	-62.91
60000	-61.1
62000	-60.51
64000	-59.97
66000	-59.68
68000	-60.51
70000	-60.24
72000	-59.28
74000	-56.23
76000	-55.86
78000	-55.46
80000	-54.44
82000	-56.38
84000	-58.39
86000	-57.09
88000	-55.21
90000	-53.62
92000	-51.66
94000	-50.14
96000	-48.71
98000	-47.45
100000	-47.01
102000	-47.83
104000	-47.18
106000	-46.74
108000	-46.55
110000	-46.47
112000	-46.3
114000	-46.05
116000	-45.65
118000	-45.18
120000	-44.62
122000	-43.69
124000	-42.66
126000	-41.49
128000	-40.26
130000	-39.31
132000	-37.92
134000	-36.72
136000	-35.73
138000	-35.34
140000	-35.37
142000	-35.65
144000	-36.33
146000	-37.33
148000	-38.77
150000	-40.56
152000	-43.05
154000	-46.1
156000	-46.63
158000	-45.23
160000	-43.64
162000	-42.05
164000	-40.53
166000	-39.76
168000	-40.02
170000	-41.35
172000	-42.42
174000	-44.52
176000	-45.33
178000	-44.79
180000	-43.88
182000	-43.18
184000	-42.37
186000	-41.75
188000	-41.11
190000	-41.34
192000	-42.67
194000	-43.39
196000	-40.78
198000	-40.83
200000	-40.76
202000	-40.6
204000	-40.39
206000	-40.03
208000	-39.29
210000	-38.22
212000	-37.11
214000	-36.41
216000	-36.45
218000	-36.69
220000	-36.78
222000	-36.15
224000	-35.52
226000	-35.14
228000	-34.78
230000	-34.5
232000	-34.3
234000	-34.15
236000	-34.1
238000	-33.88
240000	-33.7
242000	-33.4
244000	-33.14
246000	-32.86
248000	-32.58
250000	-32.3
252000	-31.99
254000	-31.79
256000	-31.63
258000	-31.5
260000	-31.29
262000	-30.98
264000	-30.76
266000	-30.71
268000	-30.75
270000	-30.69
272000	-30.44
274000	-30.21
276000	-30.15
278000	-30.28
280000	-30.56
282000	-30.91
284000	-30.85
286000	-30.71
288000	-30.66
290000	-30.69
292000	-30.97
294000	-31.1
296000	-30.66
298000	-29.85
300000	-29.01
302000	-28.32
304000	-27.73
306000	-27.21
308000	-26.76
310000	-26.46
312000	-26.31
314000	-26.39
316000	-26.82
318000	-27.55
320000	-28.05
322000	-28.39
324000	-28.54
326000	-28.7
328000	-28.7
330000	-28.47
332000	-27.92
334000	-27.19
336000	-26.53
338000	-25.97
340000	-25.51
342000	-25.1
344000	-24.7
346000	-24.5
348000	-24.47
350000	-24.79
352000	-25.38
354000	-26.08
356000	-26.81
358000	-27.44
360000	-28.11
362000	-28.97
364000	-30.25
366000	-31.57
368000	-32.98
370000	-34.35
372000	-35.41
374000	-36.08
376000	-35.9
378000	-35.62
380000	-35.79
382000	-36.57
384000	-37.7
386000	-38.62
388000	-39
390000	-39.05
392000	-38.82
394000	-38.21
396000	-37.45
398000	-36.8
400000	-36.17
402000	-34.96
404000	-33.93
406000	-33.03
408000	-32.24
410000	-31.36
412000	-30.33
414000	-29.48
416000	-28.81
418000	-28.18
420000	-27.74
422000	-27.48
424000	-27.39
426000	-27.45
428000	-27.7
430000	-28.05
432000	-28.37
434000	-28.65
436000	-28.9
438000	-29.08
440000	-29.23
442000	-29.43
444000	-29.69
446000	-29.93
448000	-30.1
450000	-30.19
452000	-30.21
454000	-30.24
456000	-30.33
458000	-30.51
460000	-30.79
462000	-31.11
464000	-31.46
466000	-31.87
468000	-32.27
470000	-32.7
472000	-33.08
474000	-33.33
476000	-33.44
478000	-33.47
480000	-33.56
482000	-33.59
484000	-33.58
486000	-33.62
488000	-33.49
490000	-33.35
492000	-33.37
494000	-33.31
496000	-33.18
498000	-33.04
500000	-32.98
502000	-32.99
504000	-33.08
506000	-33.27
508000	-33.47
510000	-33.63
512000	-33.81
514000	-34.07
516000	-34.38
518000	-34.75
520000	-35.18
522000	-35.57
524000	-35.9
526000	-36.19
528000	-36.49
530000	-36.79
532000	-37.08
534000	-37.37
536000	-37.64
538000	-37.78
540000	-37.78
542000	-37.65
544000	-37.4
546000	-37.03
548000	-36.57
550000	-36.21
552000	-35.95
554000	-35.67
556000	-35.37
558000	-35.17
560000	-35.06
562000	-35.02
564000	-34.98
566000	-35.03
568000	-35.14
570000	-35.32
572000	-35.54
574000	-35.77
576000	-35.91
578000	-35.91
580000	-35.76
582000	-35.46
584000	-35.18
586000	-34.99
588000	-34.9
590000	-34.84
592000	-34.8
594000	-34.79
596000	-34.8
598000	-34.85
600000	-34.92
602000	-34.99
604000	-35.06
606000	-35.13
608000	-35.18
610000	-35.22
612000	-35.2
614000	-35.18
616000	-35.2
618000	-35.21
620000	-35.24
622000	-35.29
624000	-35.37
626000	-35.46
628000	-35.56
630000	-35.64
632000	-35.66
634000	-35.65
636000	-35.63
638000	-35.62
640000	-35.61
642000	-35.55
644000	-35.52
646000	-35.51
648000	-35.54
650000	-35.6
652000	-35.73
654000	-35.94
656000	-36.17
658000	-36.43
660000	-36.68
662000	-36.87
664000	-37.11
666000	-37.41
668000	-37.72
670000	-37.93
672000	-38.1
674000	-38.17
676000	-38.15
678000	-38.15
680000	-38.14
682000	-38.12
684000	-37.88
686000	-37.8
688000	-37.69
690000	-37.54
692000	-37.55
694000	-37.61
696000	-37.49
698000	-37.22
700000	-37.02
702000	-37.07
704000	-37.26
706000	-37.59
708000	-37.98
710000	-38.34
712000	-38.68
714000	-38.94
716000	-39.17
718000	-39.35
720000	-39.48
722000	-39.63
724000	-39.71
726000	-39.75
728000	-39.66
730000	-39.67
732000	-39.74
734000	-39.8
736000	-39.84
738000	-39.93
