Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
798000	-38.3
800000	-38.35
802000	-38.4
804000	-38.47
806000	-38.47
808000	-38.53
810000	-38.59
812000	-38.69
814000	-38.76
816000	-38.85
818000	-38.97
820000	-38.99
822000	-38.93
824000	-38.83
826000	-38.89
828000	-39.09
830000	-39.25
832000	-39.27
834000	-39.15
836000	-38.95
838000	-38.79
840000	-38.64
842000	-38.45
844000	-38.2
846000	-37.89
848000	-37.53
850000	-37.19
852000	-36.89
854000	-36.63
856000	-36.4
858000	-36.18
860000	-36.03
862000	-35.92
864000	-35.84
866000	-35.81
868000	-35.84
870000	-35.92
872000	-36.03
874000	-36.2
876000	-36.32
878000	-36.38
880000	-36.4
882000	-36.35
884000	-36.31
886000	-36.26
888000	-36.24
890000	-36.21
892000	-36.17
894000	-36.11
896000	-36.12
898000	-36.19
900000	-36.32
902000	-36.53
904000	-36.81
906000	-37.18
908000	-37.6
910000	-38.05
912000	-38.52
914000	-39
916000	-39.48
918000	-39.97
920000	-40.46
922000	-40.96
924000	-41.49
926000	-42.03
928000	-42.55
930000	-43.05
932000	-43.53
934000	-43.99
936000	-44.42
938000	-44.81
940000	-45.19
942000	-45.56
944000	-45.93
946000	-46.31
948000	-46.7
950000	-47.1
952000	-47.51
954000	-47.94
956000	-48.37
958000	-48.77
960000	-49.17
962000	-49.58
964000	-50.01
966000	-50.46
968000	-50.92
970000	-51.41
972000	-51.91
974000	-52.45
976000	-53.04
978000	-53.66
980000	-54.28
982000	-54.85
984000	-55.34
986000	-55.74
988000	-56.03
990000	-56.13
992000	-56.05
994000	-55.87
996000	-55.63
998000	-55.35
1000000	-55.02
