Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.13
52000	-68.63
54000	-65.88
56000	-62.31
58000	-62.92
60000	-61.12
62000	-60.51
64000	-59.99
66000	-59.69
68000	-60.52
70000	-60.26
72000	-59.29
74000	-56.23
76000	-55.91
78000	-55.48
80000	-54.5
82000	-56.47
84000	-58.44
86000	-57.11
88000	-55.22
90000	-53.63
92000	-51.66
94000	-50.14
96000	-48.73
98000	-47.5
100000	-47.1
102000	-47.89
104000	-47.25
106000	-46.82
108000	-46.63
110000	-46.55
112000	-46.36
114000	-46.1
116000	-45.69
118000	-45.19
120000	-44.63
122000	-43.7
124000	-42.66
126000	-41.49
128000	-40.25
130000	-39.31
132000	-37.93
134000	-36.73
136000	-35.75
138000	-35.38
140000	-35.42
142000	-35.7
144000	-36.38
146000	-37.39
148000	-38.83
150000	-40.63
152000	-43.14
154000	-46.17
156000	-46.57
158000	-45.13
160000	-43.57
162000	-42
164000	-40.5
166000	-39.77
168000	-40.07
170000	-41.38
172000	-42.46
174000	-44.49
176000	-45.24
178000	-44.68
180000	-43.78
182000	-43.1
184000	-42.29
186000	-41.68
188000	-41.06
190000	-41.32
192000	-42.68
194000	-43.38
196000	-40.73
198000	-40.8
200000	-40.72
202000	-40.57
204000	-40.36
206000	-40
208000	-39.25
210000	-38.17
212000	-37.07
214000	-36.38
216000	-36.43
218000	-36.65
220000	-36.75
222000	-36.11
224000	-35.48
226000	-35.09
228000	-34.73
230000	-34.45
232000	-34.25
234000	-34.1
236000	-34.04
238000	-33.82
240000	-33.63
242000	-33.34
244000	-33.08
246000	-32.79
248000	-32.51
250000	-32.22
252000	-31.92
254000	-31.71
256000	-31.55
258000	-31.42
260000	-31.2
262000	-30.9
264000	-30.69
266000	-30.66
268000	-30.7
270000	-30.62
272000	-30.37
274000	-30.15
276000	-30.11
278000	-30.24
280000	-30.52
282000	-30.85
284000	-30.8
286000	-30.66
288000	-30.62
290000	-30.66
292000	-30.94
294000	-31.03
296000	-30.56
298000	-29.74
300000	-28.9
302000	-28.22
304000	-27.64
306000	-27.14
308000	-26.7
310000	-26.41
312000	-26.28
314000	-26.38
316000	-26.82
318000	-27.55
320000	-28.05
322000	-28.38
324000	-28.53
326000	-28.69
328000	-28.68
330000	-28.43
332000	-27.87
334000	-27.13
336000	-26.48
338000	-25.94
340000	-25.49
342000	-25.07
344000	-24.68
346000	-24.48
348000	-24.45
350000	-24.77
352000	-25.35
354000	-26.03
356000	-26.75
358000	-27.38
360000	-28.05
362000	-28.93
364000	-30.22
366000	-31.54
368000	-32.96
370000	-34.3
372000	-35.31
374000	-35.91
376000	-35.71
378000	-35.45
380000	-35.67
382000	-36.48
384000	-37.63
386000	-38.54
388000	-38.92
390000	-38.97
392000	-38.75
394000	-38.16
396000	-37.41
398000	-36.78
400000	-36.13
402000	-34.92
404000	-33.9
406000	-33.01
408000	-32.22
410000	-31.35
412000	-30.33
414000	-29.5
416000	-28.84
418000	-28.21
420000	-27.77
422000	-27.51
424000	-27.41
426000	-27.47
428000	-27.71
430000	-28.04
432000	-28.35
434000	-28.62
436000	-28.86
438000	-29.02
440000	-29.17
442000	-29.37
444000	-29.62
446000	-29.86
448000	-30.02
450000	-30.11
452000	-30.12
454000	-30.15
456000	-30.25
458000	-30.43
460000	-30.7
462000	-31.02
464000	-31.38
466000	-31.79
468000	-32.19
470000	-32.61
472000	-32.99
474000	-33.23
476000	-33.33
478000	-33.36
480000	-33.46
482000	-33.49
484000	-33.49
486000	-33.52
488000	-33.38
490000	-33.25
492000	-33.27
494000	-33.2
496000	-33.07
498000	-32.94
500000	-32.88
502000	-32.89
504000	-32.97
506000	-33.16
508000	-33.36
510000	-33.52
512000	-33.71
514000	-33.97
516000	-34.28
518000	-34.66
520000	-35.08
522000	-35.47
524000	-35.8
526000	-36.09
528000	-36.38
530000	-36.69
532000	-36.98
534000	-37.28
536000	-37.54
538000	-37.68
540000	-37.68
542000	-37.55
544000	-37.3
546000	-36.93
548000	-36.48
550000	-36.12
552000	-35.86
554000	-35.59
556000	-35.28
558000	-35.08
560000	-34.97
562000	-34.93
564000	-34.89
566000	-34.95
568000	-35.07
570000	-35.25
572000	-35.47
574000	-35.68
576000	-35.81
578000	-35.8
580000	-35.63
582000	-35.33
584000	-35.05
586000	-34.87
588000	-34.78
590000	-34.72
592000	-34.69
594000	-34.67
596000	-34.69
598000	-34.74
600000	-34.82
602000	-34.89
604000	-34.96
606000	-35.02
608000	-35.07
610000	-35.11
612000	-35.1
614000	-35.07
616000	-35.08
618000	-35.1
620000	-35.13
622000	-35.18
624000	-35.26
626000	-35.36
628000	-35.45
630000	-35.53
632000	-35.55
634000	-35.54
636000	-35.52
638000	-35.51
640000	-35.49
642000	-35.44
644000	-35.41
646000	-35.4
648000	-35.43
650000	-35.5
652000	-35.64
654000	-35.86
656000	-36.09
658000	-36.34
660000	-36.58
662000	-36.78
664000	-37.02
666000	-37.33
668000	-37.64
670000	-37.85
672000	-38
674000	-38.06
676000	-38.03
678000	-38.04
680000	-38.02
682000	-38
684000	-37.76
686000	-37.67
688000	-37.56
690000	-37.41
692000	-37.42
694000	-37.48
696000	-37.36
698000	-37.1
700000	-36.91
702000	-36.96
704000	-37.15
706000	-37.49
708000	-37.89
710000	-38.25
712000	-38.59
714000	-38.85
716000	-39.08
718000	-39.25
720000	-39.38
722000	-39.52
724000	-39.6
726000	-39.64
728000	-39.55
730000	-39.56
732000	-39.63
734000	-39.7
736000	-39.74
738000	-39.82
740000	-39.83
