Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.32
52000	-66.99
54000	-66.12
56000	-63.1
58000	-62.7
60000	-61.1
62000	-60.5
64000	-60.05
66000	-59.73
68000	-60.65
70000	-60.25
72000	-59.19
74000	-56.24
76000	-55.61
78000	-55.64
80000	-54.45
82000	-56.03
84000	-58.46
86000	-57.06
88000	-55.23
90000	-53.7
92000	-51.54
94000	-50.19
96000	-48.89
98000	-47.44
100000	-47.41
102000	-48.1
104000	-47.37
106000	-46.94
108000	-46.74
110000	-46.57
112000	-46.32
114000	-45.99
116000	-45.51
118000	-45.03
120000	-44.38
122000	-43.4
124000	-42.34
126000	-41.14
128000	-39.82
130000	-38.84
132000	-37.48
134000	-36.25
136000	-35.2
138000	-34.8
140000	-34.94
142000	-35.37
144000	-35.99
146000	-37
148000	-38.51
150000	-40.25
152000	-42.64
154000	-44.32
156000	-46.68
158000	-45.67
160000	-44.3
162000	-42.65
164000	-41.08
166000	-40.16
168000	-40.36
170000	-41.23
172000	-42.33
174000	-44.13
176000	-44.56
178000	-43.99
180000	-43.09
182000	-42.48
184000	-41.82
186000	-41.23
188000	-40.51
190000	-40.97
192000	-42.27
194000	-43.58
196000	-40.98
198000	-40.88
200000	-40.8
202000	-40.81
204000	-40.53
206000	-40.38
208000	-39.89
210000	-38.98
212000	-37.87
214000	-37.11
216000	-37.12
218000	-37.22
220000	-37.21
222000	-36.43
224000	-35.8
226000	-35.36
228000	-34.99
230000	-34.76
232000	-34.54
234000	-34.3
236000	-34.2
238000	-33.99
240000	-33.77
242000	-33.53
244000	-33.23
246000	-32.91
248000	-32.58
250000	-32.3
252000	-31.94
254000	-31.7
256000	-31.52
258000	-31.32
260000	-31.16
262000	-30.91
264000	-30.75
266000	-30.74
268000	-30.8
270000	-30.72
272000	-30.51
274000	-30.37
276000	-30.36
278000	-30.5
280000	-30.71
282000	-30.97
284000	-30.89
286000	-30.75
288000	-30.76
290000	-30.84
292000	-31.13
294000	-31.11
296000	-30.47
298000	-29.59
300000	-28.74
302000	-28.06
304000	-27.48
306000	-26.99
308000	-26.58
310000	-26.29
312000	-26.16
314000	-26.27
316000	-26.74
318000	-27.57
320000	-28.06
322000	-28.39
324000	-28.62
326000	-28.81
328000	-28.81
330000	-28.47
332000	-27.83
334000	-27.07
336000	-26.44
338000	-25.92
340000	-25.52
342000	-25.15
344000	-24.82
346000	-24.7
348000	-24.75
350000	-25.11
352000	-25.65
354000	-26.28
356000	-26.95
358000	-27.58
360000	-28.3
362000	-29.24
364000	-30.57
366000	-31.88
368000	-33.27
370000	-34.51
372000	-35.39
374000	-35.67
376000	-35.33
378000	-35.13
380000	-35.53
382000	-36.41
384000	-37.49
386000	-38.36
388000	-38.84
390000	-38.94
392000	-38.75
394000	-38.18
396000	-37.41
398000	-36.89
400000	-36.08
402000	-34.9
404000	-34
406000	-33.22
408000	-32.49
410000	-31.63
412000	-30.65
414000	-29.9
416000	-29.31
418000	-28.75
420000	-28.34
422000	-28.11
424000	-27.98
426000	-28
428000	-28.17
430000	-28.41
432000	-28.64
434000	-28.85
436000	-29.06
438000	-29.23
440000	-29.39
442000	-29.6
444000	-29.83
446000	-30.01
448000	-30.12
450000	-30.18
452000	-30.15
454000	-30.16
456000	-30.26
458000	-30.44
460000	-30.71
462000	-31.03
464000	-31.4
466000	-31.82
468000	-32.25
470000	-32.65
472000	-32.98
474000	-33.19
476000	-33.3
478000	-33.32
480000	-33.4
482000	-33.38
484000	-33.42
486000	-33.41
488000	-33.28
490000	-33.15
492000	-33.19
494000	-33.14
496000	-33
498000	-32.85
500000	-32.79
502000	-32.83
504000	-32.94
506000	-33.15
508000	-33.37
510000	-33.52
512000	-33.7
514000	-33.91
516000	-34.18
518000	-34.55
520000	-34.99
522000	-35.39
524000	-35.71
526000	-35.98
528000	-36.29
530000	-36.61
532000	-36.94
534000	-37.26
536000	-37.49
538000	-37.6
540000	-37.59
542000	-37.47
544000	-37.25
546000	-36.93
548000	-36.51
550000	-36.19
552000	-35.96
554000	-35.71
556000	-35.41
558000	-35.21
560000	-35.11
562000	-35.08
564000	-35.04
566000	-35.09
568000	-35.21
570000	-35.39
572000	-35.63
574000	-35.86
576000	-35.98
578000	-35.93
580000	-35.71
582000	-35.4
584000	-35.15
586000	-35.02
588000	-34.97
590000	-34.94
592000	-34.91
594000	-34.87
596000	-34.86
598000	-34.85
600000	-34.89
602000	-34.94
604000	-34.97
606000	-35.02
608000	-35.04
610000	-35.05
612000	-35
614000	-34.96
616000	-34.96
618000	-34.98
620000	-35.03
622000	-35.1
624000	-35.19
626000	-35.32
628000	-35.45
630000	-35.56
632000	-35.62
634000	-35.61
636000	-35.59
638000	-35.56
640000	-35.56
642000	-35.52
644000	-35.53
646000	-35.57
648000	-35.65
650000	-35.77
652000	-35.96
654000	-36.2
656000	-36.46
658000	-36.75
660000	-37.03
662000	-37.24
664000	-37.47
666000	-37.76
668000	-38.02
670000	-38.15
672000	-38.24
674000	-38.24
676000	-38.19
678000	-38.18
680000	-38.16
682000	-38.12
684000	-37.91
686000	-37.82
688000	-37.66
690000	-37.55
692000	-37.61
694000	-37.68
696000	-37.59
698000	-37.28
700000	-37.06
702000	-37.1
704000	-37.31
706000	-37.66
708000	-38.09
710000	-38.5
712000	-38.87
714000	-39.12
716000	-39.32
718000	-39.47
720000	-39.58
722000	-39.7
724000	-39.78
726000	-39.81
728000	-39.74
730000	-39.75
732000	-39.85
734000	-39.91
736000	-39.99
738000	-40.08
