Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.08
52000	-68.61
54000	-65.85
56000	-62.28
58000	-62.9
60000	-61.07
62000	-60.49
64000	-59.96
66000	-59.63
68000	-60.47
70000	-60.22
72000	-59.26
74000	-56.24
76000	-55.8
78000	-55.42
80000	-54.35
82000	-56.24
84000	-58.33
86000	-57.05
88000	-55.19
90000	-53.61
92000	-51.66
94000	-50.13
96000	-48.67
98000	-47.38
100000	-46.89
102000	-47.73
104000	-47.07
106000	-46.62
108000	-46.43
110000	-46.35
112000	-46.2
114000	-45.97
116000	-45.59
118000	-45.14
120000	-44.57
122000	-43.66
124000	-42.65
126000	-41.49
128000	-40.25
130000	-39.31
132000	-37.92
134000	-36.71
136000	-35.69
138000	-35.28
140000	-35.3
142000	-35.58
144000	-36.25
146000	-37.25
148000	-38.69
150000	-40.47
152000	-42.93
154000	-46.02
156000	-46.71
158000	-45.38
160000	-43.77
162000	-42.15
164000	-40.6
166000	-39.79
168000	-39.99
170000	-41.32
172000	-42.38
174000	-44.57
176000	-45.49
178000	-44.98
180000	-44.04
182000	-43.32
184000	-42.5
186000	-41.86
188000	-41.21
190000	-41.38
192000	-42.68
194000	-43.39
196000	-40.86
198000	-40.91
200000	-40.84
202000	-40.66
204000	-40.44
206000	-40.07
208000	-39.33
210000	-38.28
212000	-37.16
214000	-36.46
216000	-36.5
218000	-36.74
220000	-36.86
222000	-36.24
224000	-35.62
226000	-35.23
228000	-34.87
230000	-34.59
232000	-34.39
234000	-34.24
236000	-34.2
238000	-33.99
240000	-33.81
242000	-33.52
244000	-33.26
246000	-32.98
248000	-32.7
250000	-32.43
252000	-32.13
254000	-31.93
256000	-31.77
258000	-31.64
260000	-31.43
262000	-31.12
264000	-30.88
266000	-30.8
268000	-30.84
270000	-30.79
272000	-30.55
274000	-30.31
276000	-30.23
278000	-30.35
280000	-30.63
282000	-30.99
284000	-30.94
286000	-30.79
288000	-30.73
290000	-30.74
292000	-31.02
294000	-31.19
296000	-30.82
298000	-30.03
300000	-29.18
302000	-28.48
304000	-27.87
306000	-27.34
308000	-26.87
310000	-26.54
312000	-26.36
314000	-26.42
316000	-26.81
318000	-27.53
320000	-28.05
322000	-28.41
324000	-28.55
326000	-28.7
328000	-28.73
330000	-28.53
332000	-28
334000	-27.27
336000	-26.6
338000	-26.02
340000	-25.55
342000	-25.13
344000	-24.74
346000	-24.53
348000	-24.51
350000	-24.83
352000	-25.43
354000	-26.15
356000	-26.91
358000	-27.55
360000	-28.21
362000	-29.05
364000	-30.31
366000	-31.62
368000	-33.03
370000	-34.43
372000	-35.56
374000	-36.34
376000	-36.21
378000	-35.91
380000	-36.02
382000	-36.73
384000	-37.81
386000	-38.75
388000	-39.13
390000	-39.16
392000	-38.94
394000	-38.31
396000	-37.52
398000	-36.84
400000	-36.23
402000	-35.03
404000	-33.99
406000	-33.07
408000	-32.26
410000	-31.38
412000	-30.32
414000	-29.46
416000	-28.78
418000	-28.14
420000	-27.69
422000	-27.44
424000	-27.35
426000	-27.43
428000	-27.7
430000	-28.06
432000	-28.41
434000	-28.71
436000	-28.98
438000	-29.18
440000	-29.33
442000	-29.54
444000	-29.8
446000	-30.05
448000	-30.23
450000	-30.34
452000	-30.37
454000	-30.4
456000	-30.49
458000	-30.66
460000	-30.93
462000	-31.26
464000	-31.61
466000	-32.02
468000	-32.42
470000	-32.84
472000	-33.24
474000	-33.52
476000	-33.63
478000	-33.65
480000	-33.74
482000	-33.76
484000	-33.75
486000	-33.79
488000	-33.66
490000	-33.53
492000	-33.55
494000	-33.49
496000	-33.35
498000	-33.21
500000	-33.15
502000	-33.17
504000	-33.26
506000	-33.45
508000	-33.66
510000	-33.82
512000	-33.99
514000	-34.25
516000	-34.55
518000	-34.92
520000	-35.34
522000	-35.74
524000	-36.08
526000	-36.37
528000	-36.67
530000	-36.97
532000	-37.25
534000	-37.54
536000	-37.81
538000	-37.95
540000	-37.96
542000	-37.83
544000	-37.57
546000	-37.2
548000	-36.74
550000	-36.37
552000	-36.1
554000	-35.82
556000	-35.52
558000	-35.32
560000	-35.22
562000	-35.19
564000	-35.14
566000	-35.18
568000	-35.28
570000	-35.45
572000	-35.67
574000	-35.9
576000	-36.07
578000	-36.1
580000	-35.97
582000	-35.69
584000	-35.39
586000	-35.2
588000	-35.1
590000	-35.04
592000	-35
594000	-34.98
596000	-34.99
598000	-35.03
600000	-35.11
602000	-35.17
604000	-35.24
606000	-35.31
608000	-35.36
610000	-35.4
612000	-35.39
614000	-35.38
616000	-35.39
618000	-35.4
620000	-35.44
622000	-35.49
624000	-35.57
626000	-35.66
628000	-35.75
630000	-35.82
632000	-35.85
634000	-35.84
636000	-35.81
638000	-35.81
640000	-35.8
642000	-35.75
644000	-35.71
646000	-35.7
648000	-35.72
650000	-35.77
652000	-35.89
654000	-36.09
656000	-36.32
658000	-36.58
660000	-36.83
662000	-37.03
664000	-37.25
666000	-37.55
668000	-37.87
670000	-38.08
672000	-38.26
674000	-38.35
676000	-38.34
678000	-38.36
680000	-38.34
682000	-38.31
684000	-38.08
686000	-38.01
688000	-37.91
690000	-37.77
692000	-37.78
694000	-37.83
696000	-37.72
698000	-37.44
700000	-37.23
702000	-37.26
704000	-37.44
706000	-37.76
708000	-38.14
710000	-38.5
712000	-38.84
714000	-39.1
716000	-39.33
718000	-39.52
720000	-39.66
722000	-39.82
724000	-39.91
726000	-39.94
728000	-39.85
730000	-39.85
732000	-39.92
734000	-39.98
736000	-40.02
738000	-40.11
