Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
798000	-36.74
800000	-36.66
802000	-36.62
804000	-36.56
806000	-36.48
808000	-36.44
810000	-36.49
812000	-36.61
814000	-36.74
816000	-36.92
818000	-37.09
820000	-37.17
822000	-37.17
824000	-37.16
826000	-37.3
828000	-37.49
830000	-37.55
832000	-37.5
834000	-37.37
836000	-37.24
838000	-37.16
840000	-37.07
842000	-36.94
844000	-36.74
846000	-36.49
848000	-36.22
850000	-36.01
852000	-35.81
854000	-35.65
856000	-35.51
858000	-35.39
860000	-35.32
862000	-35.28
864000	-35.29
866000	-35.32
868000	-35.37
870000	-35.44
872000	-35.55
874000	-35.64
876000	-35.67
878000	-35.63
880000	-35.49
882000	-35.26
884000	-34.98
886000	-34.68
888000	-34.4
890000	-34.15
892000	-33.94
894000	-33.79
896000	-33.72
898000	-33.74
900000	-33.86
902000	-34.08
904000	-34.38
906000	-34.76
908000	-35.2
910000	-35.66
912000	-36.13
914000	-36.62
916000	-37.1
918000	-37.58
920000	-38.07
922000	-38.57
924000	-39.07
926000	-39.58
928000	-40.09
930000	-40.59
932000	-41.09
934000	-41.6
936000	-42.08
938000	-42.52
940000	-42.92
942000	-43.3
944000	-43.66
946000	-44.03
948000	-44.4
950000	-44.8
952000	-45.22
954000	-45.66
956000	-46.12
958000	-46.57
960000	-47.03
962000	-47.5
964000	-47.97
966000	-48.46
968000	-48.94
970000	-49.44
972000	-50.01
974000	-50.65
976000	-51.38
978000	-52.15
980000	-52.87
982000	-53.5
984000	-53.96
986000	-54.22
988000	-54.2
990000	-53.85
992000	-53.37
994000	-52.84
996000	-52.35
998000	-51.89
1000000	-51.54
